IBOrderID,qty,pnl,basis,netcash,date
631991390,-84,-85.17764,-6112.001848,6026.824208,2025-09-10;140049
631991457,-9,-10.460791,-617.499099,607.038308,2025-09-10;140102
631991529,-259,-6.824389999999999,-6400.190698,6393.366308000001,2025-09-10;140114
631991589,-6,134.31874,-5436.700132,5571.018872,2025-09-10;140117
631991676,-2232,1070.89078,-4854.649104,5925.539884,2025-09-10;140121
631991756,-228,107.11212,-5625.905016,5733.017136,2025-09-10;140125
631991796,-236,-104.24956,-5202.625192,5098.375632,2025-09-10;140135
631992283,-17711,1499.069778,-7641.939454,9141.009232,2025-09-10;140319
631994074,-612,12.11148,-5272.393464,5284.504943999999,2025-09-10;140726
632382553,-207,275.26653,-7651.759554,7927.026084,2025-09-11;140044
632382746,-5,86.94895,-4590.05011,4676.99906,2025-09-11;140035
632382754,-220,-183.8462,-7256.50484,7072.658640000001,2025-09-11;140039
632382841,-640,76.6656,-5520.01408,5596.67968,2025-09-11;140048
632607252,-724,607.24796,-2767.555928,3374.803888,2025-09-12;114743
632654280,-848,-42.098079999999996,-4811.938656,4769.840576,2025-09-12;140035
632654377,-6,38.07874,-5576.380132,5614.458872,2025-09-12;140052
632654420,-1510,-30.5171,-5760.68322,5730.16612,2025-09-12;140039
632654421,-161,30.16619,-4948.533542,4978.699732,2025-09-12;140043
632812250,-1061,-21.44281,-3273.208342,3251.765532,2025-09-15;095223
632959478,-299,-218.33279,-4991.811578,4773.478788,2025-09-15;140031
632959669,-6,-110.60126,-5629.600132,5518.998872,2025-09-15;140034
632959878,-314,-169.62594,-6177.956908,6008.330968,2025-09-15;140017
632959908,-69,-88.264835,-6872.021863,6783.757028,2025-09-15;140020
632959934,-149,-180.83129,-5435.033278,5254.201988,2025-09-15;140026
633244602,-107,-14.86247,-5155.192354,5140.329884,2025-09-16;140050
633244665,-411,-201.47631,-6142.404042,5940.927732,2025-09-16;140056
633244804,-196,-80.44116,-5694.804312,5614.363152,2025-09-16;140110
633245051,-202,-40.44242,-6596.314444,6555.872024,2025-09-16;140100
633245161,-6,-7.28126,-5641.600132,5634.318872,2025-09-16;140115
633515125,-243,-77.81103,-4747.010346,4669.199316,2025-09-17;140030
633516050,-311,-16.43531,-5779.941842,5763.506532,2025-09-17;140040
633542916,-5100,-154.061,-3391.6122,3237.5512,2025-09-17;142616
633905858,-15,801.09685,-6275.05033,7076.14718,2025-09-18;140045
633906056,-854,683.020661,-5282.008788,5965.029448,2025-09-18;140041
633906311,-5,-118.15105,-4684.10011,4565.94906,2025-09-18;140100
633906354,-272,179.46288,-6597.365984,6776.828864,2025-09-18;140055
633907069,-1584,-110.372641,-6739.954849,6629.582208,2025-09-18;140214
634244410,-391,-0.08211,-5257.003602,5256.9214919999995,2025-09-19;140043
634245332,-311,-24.94531,-5114.401842,5089.456532,2025-09-19;140048
634245371,-119,115.78501,-4899.042618,5014.827628,2025-09-19;140103
634245411,-902,-0.18942,-4965.529844,4965.340424,2025-09-19;140104
634245419,-5,-301.65105,-4650.65011,4348.99906,2025-09-19;140108
634245976,-2920,948.464,-7983.98704,8932.45104,2025-09-19;140038
634252575,-2176,754.3228,-5315.801952,6623.590912,2025-09-19;140434
634622252,-770,169.23829999999998,-4908.76694,5078.00524,2025-09-22;140021
634622451,-161,-34.23381,-5191.643542,5157.409732,2025-09-22;140036
634622751,-425,85.91075,-4787.634349999999,4873.545099999999,2025-09-22;140026
634622791,-210,48.2559,-6630.75462,6679.01052,2025-09-22;140041
634622793,-214,29.05506,-6777.174708,6806.229768,2025-09-22;140046
634622802,-209,8.31611,-6640.979598,6649.295708,2025-09-22;140054
634622806,-204,-10.24284,-6500.464488,6490.221648,2025-09-22;140103
634622807,-158,1.126821,-5025.403476,5026.530296,2025-09-22;140059
