CurrencyPrimary,IBCommission,Open/CloseIndicator,CostBasis,FifoPnlRealized,LevelOfDetail,trade_date
USD,-3.413704,C,-4681.684476,480.20182,EXECUTION,2025-09-23
USD,-0.5188,C,-711.5022,72.979,EXECUTION,2025-09-23
USD,-1.0188,C,-5776.0022,100.979,EXECUTION,2025-08-06
USD,-0.005452,C,-1674.750638,29.86391,EXECUTION,2025-08-06
USD,-1.0188,C,-2376.0022,-83.021,EXECUTION,2025-08-06
USD,-0.127748,C,-2854.287662,-78.67541,EXECUTION,2025-08-06
USD,-1.0188,C,-734.0022,69.979,EXECUTION,2025-08-18
USD,-1.5752,C,-2933.5088,284.916,EXECUTION,2025-08-18
USD,-0.845644,C,-1195.608586,115.69577,EXECUTION,2025-08-18
USD,-0.5188,C,-733.5022,70.979,EXECUTION,2025-08-18
USD,-2.121892,C,-3313.863998,-146.23589,EXECUTION,2025-08-19
USD,-2.594,C,-4048.511,-176.105,EXECUTION,2025-08-19
USD,-1.0094,C,-4847.5011,47.9895,EXECUTION,2025-09-02
USD,-1.0188,C,-909.5022,-21.521,EXECUTION,2025-08-28
USD,-0.0188,C,-909.5022,-20.521,EXECUTION,2025-08-28
USD,-1.5564,C,-2728.5066,-63.063,EXECUTION,2025-08-28
USD,-0.5188,C,-909.5022,-21.021,EXECUTION,2025-08-28
USD,-1.468204,C,-2573.891226,-59.48943,EXECUTION,2025-08-28
USD,-1.0188,C,-864.0022,-10.021,EXECUTION,2025-08-07
USD,-0.005452,C,-250.270638,-2.32609,EXECUTION,2025-08-07
USD,-0.1638,C,-863.1472,-8.311,EXECUTION,2025-08-07
USD,-0.368348,C,-613.086562,-6.40491,EXECUTION,2025-08-07
USD,-0.5188,C,-863.5022,-9.021,EXECUTION,2025-08-07
USD,-0.5188,C,-863.5022,-9.021,EXECUTION,2025-08-07
USD,-0.399476,C,-664.896694,-6.94617,EXECUTION,2025-08-07
USD,-1.0188,C,-866.5022,-7.521,EXECUTION,2025-08-11
USD,-0.0188,C,-866.5022,-6.521,EXECUTION,2025-08-11
USD,-0.5188,C,-866.5022,-7.021,EXECUTION,2025-08-11
USD,-0.5188,C,-866.5022,-7.021,EXECUTION,2025-08-11
USD,-0.5188,C,-866.5022,-7.021,EXECUTION,2025-08-11
USD,-0.5188,C,-866.5022,-7.021,EXECUTION,2025-08-11
USD,-0.057068,C,-95.315242,-0.77231,EXECUTION,2025-08-11
USD,-20.248764,C,-4312.900866,155.30037,EXECUTION,2025-09-10
USD,-3.1128,C,-663.0132,23.874,EXECUTION,2025-09-10
